page,name,categories,address
4,Kerbey Lane Cafe,"Restaurants, American Restaurants, Coffee Shops","3704 Kerbey Ln, Austin, TX 78731"
4,Quality Seafood Wholesale,"Restaurants, Seafood Restaurants, Fish & Seafood Markets","5621 Airport Blvd, Austin, TX 78751"
4,China Emperor Restaurant,"Restaurants, Family Style Restaurants","111 W William Cannon Dr, Austin, TX 78745"
4,Verde's Mexican Parrilla,"Restaurants, Mexican Restaurants, American Restaurants","16018 Hamilton Pool Rd, Austin, TX 78738"
4,Matt's El Rancho,"Restaurants, Mexican Restaurants, Mexican Goods","2613 S Lamar Blvd, Austin, TX 78704"
5,The Oasis,"Restaurants, Mexican Restaurants, Party & Event Planners","6550 Comanche Trl, Austin, TX 78732"
5,Flores Mexican Restaurant,"Restaurants, Mexican Restaurants, American Restaurants","8300 N Fm 620 Rd, Austin, TX 78726"
5,Maudie's Hacienda,"Restaurants, Mexican Restaurants, Delicatessens","9911 Brodie Ln, Austin, TX 78748"
5,Kona Grill,"Restaurants, American Restaurants, Sushi Bars","11410 Century Oaks Ter, Austin, TX 78758"
5,Wings 'N More,"Restaurants, Chicken Restaurants, Take Out Restaurants","1200 W Howard Ln, Austin, TX 78753"
5,Hoover's Cooking,"Restaurants, American Restaurants, Creole & Cajun Restaurants","2002 Manor Rd, Austin, TX 78722"
5,Kerbey Lane Cafe,"Restaurants, American Restaurants, Coffee Shops","3003 S Lamar Blvd, Austin, TX 78704"
5,Phils Ice House,"Restaurants, American Restaurants, Sandwich Shops","5620 Burnet Rd, Austin, TX 78756"
5,Pok-e-Jos Smokehouse,"Restaurants, American Restaurants, Barbecue Restaurants","9828 Great Hills Trl, Austin, TX 78759"
5,Kerbey Lane Cafe,"Restaurants, American Restaurants","3404 Kerbey Ln, Austin, TX 78703"
5,Pho Van,"Restaurants, Vietnamese Restaurants, Asian Restaurants","8557 Research Blvd, Austin, TX 78758"
5,Molcas Mexican Restaurant and Cantina,"Restaurants, Mexican Restaurants, Bars","8127 Mesa Dr, Austin, TX 78759"
5,Uchi Austin,"Restaurants, Fine Dining Restaurants, Japanese Restaurants","801 S Lamar Blvd, Austin, TX 78704"
5,Salty Sow,"Restaurants, American Restaurants, Brew Pubs","1917 Manor Rd, Austin, TX 78722"
5,Cheddar's Scratch Kitchen,"Restaurants, American Restaurants, Chicken Restaurants","13301 N Highway 183, Austin, TX 78750"
5,Titaya's Thai Cuisine,"Restaurants, Thai Restaurants, Asian Restaurants","5501 N Lamar Blvd, Austin, TX 78751"
5,Madam Mam's Noodles & Moore II,"Restaurants, American Restaurants","4514 W Gate Blvd, Austin, TX 78745"
5,Manna Korean Restaurant,"Restaurants, Korean Restaurants, Asian Restaurants","6808 N Lamar Blvd, Austin, TX 78752"
5,183 Grill Austin at Lake Creek,"Restaurants, American Restaurants","13729 N Highway 183 Ste 890, Austin, TX 78750"
5,Baby Acapulco,"Restaurants, American Restaurants, Bars","1628 Barton Springs Rd, Austin, TX 78704"
5,Kick Butt Coffee,"Restaurants, Coffee & Espresso Restaurants, Coffee Shops","5775 Airport Blvd, Austin, TX 78752"
5,Hill's Cafe,"Restaurants, Coffee Shops, American Restaurants","4700 S Congress Ave, Austin, TX 78745"
5,Buffet King,"Restaurants, Portrait Photographers, American Restaurants","5451 N Interstate 35, Austin, TX 78723"
5,Texican Cafe,"Restaurants, American Restaurants, Coffee Shops","11940 Manchaca Rd Ste 107, Austin, TX 78748"
5,Kerbey Lane Cafe,"Restaurants, American Restaurants, Coffee Shops","9801 Anderson Mill Rd, Austin, TX 78750"
5,Star Seeds Cafe,"Restaurants, American Restaurants, Pizza","3101 N Interstate 35, Austin, TX 78722"
5,Habana,"Restaurants, Latin American Restaurants, Caterers","2728 S Congress Ave, Austin, TX 78704"
5,Ho Ho Chinese BBQ,"Restaurants, Chinese Restaurants, Barbecue Restaurants","13000 N Interstate 35 Bldg 6, Austin, TX 78753"
5,Steiner Ranch Steakhouse,"Restaurants, Steak Houses, American Restaurants","5424 Steiner Ranch Blvd, Austin, TX 78732"
5,Baskin-Robbins,"Restaurants, Dessert Restaurants, Ice Cream & Frozen Desserts","9911 Brodie Ln Ste 850, Austin, TX 78748"
