amenity,amenity_category,name,geometry,icon,color
restaurant,Food Services,Super Burrito,POINT (-97.75270603052614 30.269497787495215),cutlery,green
restaurant,Food Services,The Garden,POINT (-97.785977 30.2407),cutlery,green
marketplace,Commercial,Sustainable Food Center Farmers' Market,POINT (-97.7471061 30.2672548),shopping-cart,green
bar,Food Services,Kung Fu Saloon,POINT (-97.7503681 30.2703425),beer,green
restaurant,Food Services,Discada,POINT (-97.7245889 30.2687467),cutlery,green
cafe,Food Services,Barrett's Coffee,POINT (-97.717491 30.338992),coffee,green
place_of_worship,Community Services,Metropolitan Community Church of Austin,POINT (-97.7977573 30.176552),institution,orange
restaurant,Food Services,Julio's Cafe,POINT (-97.7264373 30.3045094),cutlery,green
social_centre,Community Services,M. W. St. Joseph Grand Lodge of Texas,POINT (-97.72981056921361 30.26917439904546),institution,orange
bar,Food Services,Rio Rita,POINT (-97.7200663 30.2749573),beer,green
events_venue,Recreation,The Riley Building,POINT (-97.74581665361431 30.266539639594036),institution,orange
bar,Food Services,Corner Bar,POINT (-97.76688085308999 30.249441633093042),beer,green
restaurant,Food Services,Kerbey Lane Cafe,POINT (-97.74152178504792 30.291207968232804),cutlery,green
restaurant,Food Services,Pizzeria Sportiva,POINT (-97.7642917 30.2525199),cutlery,green
restaurant,Food Services,It's Italian Cucina,POINT (-97.7642578 30.2525756),cutlery,green
restaurant,Food Services,Corazon,POINT (-97.7563315 30.2708184),cutlery,green
restaurant,Food Services,Bob's Steak & Chop House,POINT (-97.74592116386167 30.26609214593997),cutlery,green
restaurant,Food Services,DeSano Pizzeria Napoletana,POINT (-97.74585850788301 30.266252420768172),cutlery,green
restaurant,Food Services,Luminaire,POINT (-97.7419028 30.2697418),cutlery,green
restaurant,Food Services,P. Thai's Khao Man Gai & Noodles,POINT (-97.7153228762594 30.308743811792596),cutlery,green
cafe,Food Services,Bennu Coffee Shop,POINT (-97.7462026 30.2561056),coffee,green
restaurant,Food Services,Happy Chicks,POINT (-97.73868938548206 30.33998357351602),cutlery,green
cafe,Food Services,Buzz Mill,POINT (-97.72948360174706 30.264838387178358),coffee,green
restaurant,Food Services,Franklin Barbecue,POINT (-97.7312718004436 30.270167320150023),cutlery,green
restaurant,Food Services,Taqueria Chapala,POINT (-97.85534627548573 30.235839255588512),cutlery,green
bar,Food Services,Pop,POINT (-97.74925728446595 30.270170844569904),beer,green
restaurant,Food Services,East Side Pies,POINT (-97.72408225759439 30.26878570508516),cutlery,green
bar,Food Services,Weather Up,POINT (-97.72497922031324 30.25743142539325),beer,green
place_of_worship,Community Services,Rosewood Avenue Baptist Church,POINT (-97.71926703873315 30.269953545610804),institution,orange
restaurant,Food Services,Via 313 Pizza,POINT (-97.7414335 30.2978688),cutlery,green
restaurant,Food Services,Gusto Italian Kitchen,POINT (-97.7399664 30.3183417),cutlery,green
restaurant,Food Services,Galloway's Sandwich Shop,POINT (-97.7193957 30.2739607),cutlery,green
restaurant,Food Services,Brunch Bird,POINT (-97.729491 30.2647921),cutlery,green
restaurant,Food Services,Jason's Deli,POINT (-97.7213595 30.3010767),cutlery,green
restaurant,Food Services,Roppolo's Pizzeria,POINT (-97.74154547657803 30.29099378131606),cutlery,green
restaurant,Food Services,Fabrik Austin,POINT (-97.7229995 30.27929),cutlery,green
bar,Food Services,Play on West 6th,POINT (-97.74916866452024 30.270144592972038),beer,green
bar,Food Services,Las Bis,POINT (-97.741756 30.2697049),beer,green
bar,Food Services,Rain on 4th,POINT (-97.74565862716786 30.26653799566393),beer,green
bar,Food Services,Cactus Cafe,POINT (-97.7413275 30.2861309),beer,green
bar,Food Services,J Blacks,POINT (-97.7502191 30.2703034),beer,green
pub,Food Services,Draught House Pub & Brewery,POINT (-97.7428611 30.3110713),beer,green
restaurant,Food Services,24 Diner,POINT (-97.7541298 30.2720726),cutlery,green
bar,Food Services,Postino,POINT (-97.7625395 30.253797),beer,green
restaurant,Food Services,RPM Counter,POINT (-97.6941288 30.2674245),cutlery,green
restaurant,Food Services,Tacos Las Amazonas,POINT (-97.7924076 30.1839341),cutlery,green
restaurant,Food Services,Little House,POINT (-97.7427252 30.3111425),cutlery,green
restaurant,Food Services,China Family,POINT (-97.7165374 30.3340239),cutlery,green
cafe,Food Services,Holy cacao,POINT (-97.7541798 30.251009),coffee,green
restaurant,Food Services,Have A Taco,POINT (-97.7629089 30.2634412),cutlery,green
restaurant,Food Services,Dan's Hamburgers,POINT (-97.78827554661054 30.230764343342358),cutlery,green
restaurant,Food Services,Maru Japanese,POINT (-97.7402411 30.3179119),cutlery,green
restaurant,Food Services,Maudie's Tex-Mex,POINT (-97.76263549802245 30.254738313878214),cutlery,green
restaurant,Food Services,Habibi ATX,POINT (-97.7628425 30.2634635),cutlery,green
bar,Food Services,Nickel City,POINT (-97.7281094 30.2685748),beer,green
bar,Food Services,The Iron Bear,POINT (-97.7454056 30.2686438),beer,green
restaurant,Food Services,Austin's Habibi,POINT (-97.75292574999999 30.26949605),cutlery,green
cafe,Food Services,Paperboy,POINT (-97.7275658 30.2684502),coffee,green
cafe,Food Services,Starbucks,POINT (-97.72227021270854 30.390868816547965),coffee,green
cafe,Food Services,Starbucks,POINT (-97.7465097 30.2658493),coffee,green
restaurant,Food Services,Wu Chow,POINT (-97.7478966 30.2686128),cutlery,green
place_of_worship,Community Services,Trinity Church of Austin,POINT (-97.73142721972768 30.30323352810038),institution,orange
pub,Food Services,Billy's on Burnet Road,POINT (-97.7395201 30.3219573),beer,green
restaurant,Food Services,Lin Asian Bar + Dim Sum,POINT (-97.7580008 30.2728289),cutlery,green
restaurant,Food Services,El Chile Café y Cantina,POINT (-97.721778 30.2840559),cutlery,green
cafe,Food Services,Littlefield Patio Cafe,POINT (-97.7393939 30.2892778),coffee,green
cafe,Food Services,Jo's Coffee,POINT (-97.7976628 30.215817),coffee,green
cafe,Food Services,Upper Crust Bakery,POINT (-97.7416401 30.3158003),coffee,green
restaurant,Food Services,JewBoy Burgers,POINT (-97.7150212 30.312718000000004),cutlery,green
place_of_worship,Community Services,Saint Olives Missionary Baptist Church,POINT (-97.7422299 30.3140915),institution,orange
bar,Food Services,Moloko,POINT (-97.7202610494304 30.273852652167168),beer,green
restaurant,Food Services,An Nyeong K Tofu & BBQ,POINT (-97.7390648 30.3215358),cutlery,green
restaurant,Food Services,More Home Slice Pizza,POINT (-97.7496114 30.2489829),cutlery,green
restaurant,Food Services,Rosewood,POINT (-97.72630642175218 30.268355224801557),cutlery,green
bar,Food Services,Dainty Dillo,POINT (-97.70860087530743 30.25145502297233),beer,green
restaurant,Food Services,Clay Pit,POINT (-97.7423871 30.2790333),cutlery,green
restaurant,Food Services,Uroko,POINT (-97.6940148 30.2675565),cutlery,green
restaurant,Food Services,Tacos Y Mas,POINT (-97.7029139 30.3550729),cutlery,green
place_of_worship,Community Services,New Bethel Baptist Church,POINT (-97.70050517462435 30.287734676346755),institution,orange
restaurant,Food Services,El Borrego de Oro,POINT (-97.7634777 30.2242708),cutlery,green
restaurant,Food Services,Hyde Park Bar and Grill,POINT (-97.726689 30.304197),cutlery,green
restaurant,Food Services,Pollo Regio,POINT (-97.7185807 30.3626624),cutlery,green
restaurant,Food Services,Anything's Baked Potato,POINT (-97.72465501174722 30.269023248516813),cutlery,green
restaurant,Food Services,Luby’s,POINT (-97.6883365 30.3343873),cutlery,green
restaurant,Food Services,Donkeys Grilled Burritos,POINT (-97.7629649 30.2634721),cutlery,green
cafe,Food Services,La Tazza Fresca,POINT (-97.7386124 30.3016888),coffee,green
cafe,Food Services,Thistle Cafe,POINT (-97.7448291 30.2684394),coffee,green
cafe,Food Services,Starbucks,POINT (-97.71756395000001 30.335978150000003),coffee,green
restaurant,Food Services,Mother's Cafe & Garden,POINT (-97.72600932549145 30.3043406797586),cutlery,green
restaurant,Food Services,The Burger Truck,POINT (-97.7627967 30.2635184),cutlery,green
restaurant,Food Services,Juliet Italian Kitchen,POINT (-97.76010715256302 30.261720512563468),cutlery,green
restaurant,Food Services,Sno.Co Flattop Shaved Ice,POINT (-97.71748960191876 30.2844328695241),cutlery,green
restaurant,Food Services,Sam's BBQ,POINT (-97.7187975 30.2740504),cutlery,green
restaurant,Food Services,Batch Craft Beer & Kolaches,POINT (-97.7031142 30.2871856),cutlery,green
place_of_worship,Community Services,Saint John's United Methodist Church,POINT (-97.7413899 30.3354061),institution,orange
pub,Food Services,The Tavern,POINT (-97.75111752812606 30.27708260238144),beer,green
cafe,Food Services,Teo's Gelato and Espresso,POINT (-97.7451642 30.3065679),coffee,green
cafe,Food Services,Texas Coffee Roasters,POINT (-97.7048592 30.2576584),coffee,green
bar,Food Services,Remedy,POINT (-97.7495947 30.2670293),beer,green
restaurant,Food Services,Lucy's Fried Chicken,POINT (-97.7532506 30.240435),cutlery,green
bar,Food Services,Concrete Cowboy,POINT (-97.75042020803474 30.27000612216869),beer,green
restaurant,Food Services,Red Lobster,POINT (-97.7060642 30.3436319),cutlery,green
restaurant,Food Services,Shu Shu's,POINT (-97.7285134 30.3632541),cutlery,green
bar,Food Services,Key Bar,POINT (-97.74938740565986 30.26969871439031),beer,green
restaurant,Food Services,Taqueria Hope,POINT (-97.7083465 30.3508793),cutlery,green
restaurant,Food Services,Loro,POINT (-97.7712879 30.2478111),cutlery,green
place_of_worship,Community Services,Crestview Baptist Church,POINT (-97.72387707092 30.348199092886578),institution,orange
bar,Food Services,Stompin' Grounds Lounge,POINT (-97.7615678 30.2268623),beer,green
cafe,Food Services,Halcyon,POINT (-97.7456939 30.266973),coffee,green
restaurant,Food Services,Sour Duck Market,POINT (-97.72161023519166 30.279939762506945),cutlery,green
restaurant,Food Services,Phoebe's Diner,POINT (-97.759221 30.2415272),cutlery,green
restaurant,Food Services,Home Slice Pizza,POINT (-97.7184664 30.3159377),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.7635967 30.252259),coffee,green
restaurant,Food Services,Favorite Pizza,POINT (-97.75081823924972 30.27015437151219),cutlery,green
place_of_worship,Community Services,Church at East,POINT (-97.71414371301444 30.291589036452464),institution,orange
restaurant,Food Services,Bureau de Poste,POINT (-97.7300679 30.306848),cutlery,green
events_venue,Recreation,Vessel Offsite,POINT (-97.719252 30.3389256),institution,orange
restaurant,Food Services,El Raval,POINT (-97.764434 30.2522862),cutlery,green
restaurant,Food Services,J&J BBQ & Burgers,POINT (-97.9736239 30.4738785),cutlery,green
pub,Food Services,Black Sheep Lodge,POINT (-97.7711334 30.2483397),beer,green
restaurant,Food Services,Belmont,POINT (-97.7454947 30.2686611),cutlery,green
restaurant,Food Services,Eberly,POINT (-97.75870739761875 30.25860118156299),cutlery,green
restaurant,Food Services,Quickie Pickie,POINT (-97.72724525000001 30.2687162),cutlery,green
library,Community Services,Austin Public Library - Twin Oaks Branch,POINT (-97.76237096713567 30.24866539841239),book,orange
restaurant,Food Services,Los Comales Restaurant,POINT (-97.7182535 30.2618724),cutlery,green
restaurant,Food Services,Los Catrachos,POINT (-97.6719673 30.3746476),cutlery,green
restaurant,Food Services,Tuk-Tuk Thai Cafe,POINT (-97.79671202109863 30.215913370861422),cutlery,green
restaurant,Food Services,Vespaio,POINT (-97.7506887 30.2479272),cutlery,green
restaurant,Food Services,Lonesome Dove Bistro,POINT (-97.744033 30.268268),cutlery,green
restaurant,Food Services,Lenoir,POINT (-97.7558981 30.246897),cutlery,green
restaurant,Food Services,Casa Maria's,POINT (-97.772538 30.221089),cutlery,green
cafe,Food Services,Monkey Nest,POINT (-97.7395271 30.3277452),coffee,green
bar,Food Services,The Aristocrat,POINT (-97.73864 30.3402379),beer,green
restaurant,Food Services,El Arroyo,POINT (-97.7644469036216 30.27490016872464),cutlery,green
place_of_worship,Community Services,Oak Meadow Baptist Church,POINT (-97.7680366 30.2286831),institution,orange
restaurant,Food Services,Nightcap,POINT (-97.7604684 30.2737578),cutlery,green
restaurant,Food Services,Taco More,POINT (-97.70632420482417 30.36792119711937),cutlery,green
restaurant,Food Services,Austin Daily Press,POINT (-97.72115208235863 30.280226134465863),cutlery,green
bar,Food Services,Parmer Lane Tavern,POINT (-97.6966738 30.4154361),beer,green
bar,Food Services,Oak Sports Bar & Grill,POINT (-97.7674918 30.2292707),beer,green
restaurant,Food Services,Cannone,POINT (-97.762989 30.2635263),cutlery,green
cafe,Food Services,Maha Coffee,POINT (-97.7758453 30.2474739),coffee,green
restaurant,Food Services,El Pollo Rico,POINT (-97.7179976 30.2945668),cutlery,green
restaurant,Food Services,Serranos Cocina y Cantina,POINT (-97.8018340048044 30.472648644981838),cutlery,green
restaurant,Food Services,Halal Hub,POINT (-97.75982297112868 30.24160104775561),cutlery,green
bar,Food Services,The Ranch,POINT (-97.750077 30.2702734),beer,green
restaurant,Food Services,Little China,POINT (-97.6975641 30.4075156),cutlery,green
cafe,Food Services,Captain Quakenbush's Coffeehouse,POINT (-97.796455 30.217862),coffee,green
restaurant,Food Services,Aviary Wine & Kitchen,POINT (-97.7714173 30.2482393),cutlery,green
restaurant,Food Services,Banh Mi Galang,POINT (-97.7998882 30.4797523),cutlery,green
place_of_worship,Community Services,Saint Austin Catholic Church,POINT (-97.74236810329681 30.283119476025565),institution,orange
restaurant,Food Services,Hoover's Cooking,POINT (-97.7203077 30.2843995),cutlery,green
social_centre,Community Services,Mt. Bonnell Lodge #2,POINT (-97.72461014181084 30.2691208380228),institution,orange
bar,Food Services,Dozen Street,POINT (-97.7204049 30.2738014),beer,green
cafe,Food Services,Lazydaze,POINT (-97.796492 30.217802),coffee,green
cafe,Food Services,YaYa Cafe,POINT (-97.7385591 30.3026246),coffee,green
restaurant,Food Services,China Hill,POINT (-97.8173379 30.2083036),cutlery,green
restaurant,Food Services,Snooze,POINT (-97.7434574 30.3056313),cutlery,green
restaurant,Food Services,DeSano Pizzeria Napoletana,POINT (-97.73074525187631 30.358534320633225),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.75893829681738 30.24219260214038),coffee,green
restaurant,Food Services,El Mercado,POINT (-97.7545812 30.2513434),cutlery,green
place_of_worship,Community Services,Iglesia CAPITAL,POINT (-97.7192975 30.3044219),institution,orange
cafe,Food Services,Starbucks,POINT (-97.73857604099538 30.302595477950547),coffee,green
place_of_worship,Community Services,Sunrise Community Church,POINT (-97.78956205246705 30.228803238365273),institution,orange
bar,Food Services,Little Woodrows,POINT (-97.7395802040221 30.329114152194983),beer,green
cafe,Food Services,Bird Bird Biscuit,POINT (-97.73200885 30.3307989),coffee,green
restaurant,Food Services,Cherry Creek Catfish Company,POINT (-97.799516 30.2147669),cutlery,green
restaurant,Food Services,Yushiko Ramen & Sushi,POINT (-97.7882996 30.1696758),cutlery,green
place_of_worship,Community Services,Faith Presbyterian Church,POINT (-97.74310297419082 30.23472681495614),institution,orange
restaurant,Food Services,Fixe Southern House,POINT (-97.748568 30.2687991),cutlery,green
bar,Food Services,Smokin Beauty BBQ Cocktails Beer,POINT (-97.6834152 30.3889451),beer,green
restaurant,Food Services,La Yaquesita,POINT (-97.6773836072685 30.307686942894836),cutlery,green
bar,Food Services,Back,POINT (-97.7393505 30.3018518),beer,green
restaurant,Food Services,Hoffbrau Steaks,POINT (-97.74919101641596 30.269675621683987),cutlery,green
restaurant,Food Services,Stiles Switch BBQ,POINT (-97.7213534 30.3344896),cutlery,green
place_of_worship,Community Services,Mount Olive Baptist Church,POINT (-97.72076207236876 30.26651483755726),institution,orange
restaurant,Food Services,Taqueria la Escondida #3,POINT (-97.78124109509788 30.22715214777396),cutlery,green
restaurant,Food Services,Luby's,POINT (-97.74414591898989 30.36845073575467),cutlery,green
cinema,Recreation,State Theatre,POINT (-97.74180478489562 30.269535365083126),film,red
cafe,Food Services,Ken's Donuts,POINT (-97.742826 30.2948674),coffee,green
restaurant,Food Services,Coat & Thai,POINT (-97.7628549 30.2635944),cutlery,green
cafe,Food Services,El Tigre,POINT (-97.7223157 30.27351),coffee,green
restaurant,Food Services,El Chilito,POINT (-97.7892495 30.227845),cutlery,green
place_of_worship,Community Services,Greater Calvary Bible Church,POINT (-97.69008218932318 30.318728536044315),institution,orange
cafe,Food Services,Starbucks,POINT (-97.7416851 30.2835675),coffee,green
bar,Food Services,Haymaker,POINT (-97.7175883 30.284794),beer,green
bar,Food Services,Kitty Cohen's,POINT (-97.71643011350841 30.261794750838284),beer,green
restaurant,Food Services,Chez Zee,POINT (-97.7579163 30.3367185),cutlery,green
cafe,Food Services,Captain quackenbush's coffeehouse,POINT (-97.79637 30.217993),coffee,green
bar,Food Services,Dirty Bill's,POINT (-97.74940194999999 30.269623449999997),beer,green
cafe,Food Services,The Meteor Cafe,POINT (-97.75254772022386 30.2427504182276),coffee,green
restaurant,Food Services,Rosé Gosé,POINT (-97.7147670512611 30.313115066774312),cutlery,green
restaurant,Food Services,Baby Acapulco,POINT (-97.76235473048997 30.263089759984336),cutlery,green
bar,Food Services,Twenty Two Trattoria-Wine Bar,POINT (-97.7600205 30.273547),beer,green
bar,Food Services,Tinest Bar in Texas,POINT (-97.7530788 30.2695924),beer,green
restaurant,Food Services,Haymaker,POINT (-97.7175974650452 30.284780809473435),cutlery,green
bar,Food Services,King Bee,POINT (-97.7196183 30.2739294),beer,green
restaurant,Food Services,Mi Lindo Michoacan,POINT (-97.6837996 30.3884165),cutlery,green
restaurant,Food Services,Mr. Natural,POINT (-97.72454708797456 30.256826452117718),cutlery,green
restaurant,Food Services,The Original New Orleans Po-boy And Gumbo Shop,POINT (-97.7629169 30.2636031),cutlery,green
restaurant,Food Services,Garbo's,POINT (-97.75369952938325 30.272570075840427),cutlery,green
cafe,Food Services,Rosen's Bagels,POINT (-97.74751787079784 30.26814192008072),coffee,green
bar,Food Services,Back Lot,POINT (-97.73935953530008 30.301886458182658),beer,green
pub,Food Services,Hole in the Wall,POINT (-97.7416172 30.2900421),beer,green
place_of_worship,Community Services,St. Edward's Baptist Church,POINT (-97.69575686145403 30.23749519734593),institution,orange
place_of_worship,Community Services,Saint Albert the Great Catholic Church,POINT (-97.69960726608254 30.402974537068157),institution,orange
bar,Food Services,Frazier's Long and Low,POINT (-97.7199616 30.2393353),beer,green
restaurant,Food Services,Carrabba's Italian Grill,POINT (-97.74706745900923 30.414809448572424),cutlery,green
restaurant,Food Services,El Flaco Cafe,POINT (-97.7622847 30.2266199),cutlery,green
restaurant,Food Services,Sazon,POINT (-97.7670565 30.2499685),cutlery,green
place_of_worship,Community Services,University Christian Church,POINT (-97.73925085508584 30.283289787710437),institution,orange
restaurant,Food Services,Thai Fresh,POINT (-97.7617143 30.2479434),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.7324514 30.2846841),coffee,green
cafe,Food Services,Mozart's Coffee Roasters,POINT (-97.7842520710986 30.295439419759017),coffee,green
restaurant,Food Services,Tsuke Edomae,POINT (-97.7074371 30.2984909),cutlery,green
cafe,Food Services,Caffe Medici,POINT (-97.6938995 30.2677245),coffee,green
cafe,Food Services,lazydazy,POINT (-97.796552 30.2178088),coffee,green
cafe,Food Services,Starbucks,POINT (-97.7411185 30.2860744),coffee,green
restaurant,Food Services,Pizza Paradise,POINT (-97.697678 30.4075433),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.75795169553854 30.26122572147606),coffee,green
place_of_worship,Community Services,Saint Alphonsa Syro-Malabar Catholic Church,POINT (-97.6980583 30.2324215),institution,orange
place_of_worship,Community Services,Simpson United Methodist Church,POINT (-97.72168783331472 30.273131462967758),institution,orange
cafe,Food Services,Stinson's,POINT (-97.74197099999999 30.315236000000002),coffee,green
cafe,Food Services,Starbucks,POINT (-97.7383962 30.2652626),coffee,green
restaurant,Food Services,The Original New Orleans Po-Boy and Gumbo Shop,POINT (-97.72048 30.2737783),cutlery,green
restaurant,Food Services,Tacodeli,POINT (-97.7350656 30.3487955),cutlery,green
restaurant,Food Services,Golden Tiger,POINT (-97.7226262 30.2620798),cutlery,green
pub,Food Services,The Front Page,POINT (-97.6939035 30.2673202),beer,green
place_of_worship,Community Services,South First Baptist Church,POINT (-97.7678678 30.2293763),institution,orange
restaurant,Food Services,Ruth's Chris Steak House,POINT (-97.7434085 30.2679982),cutlery,green
restaurant,Food Services,Hawaii Neo Cafe,POINT (-97.7927529 30.1845182),cutlery,green
cafe,Food Services,Starbucks,POINT (-97.7080023 30.3058211),coffee,green
restaurant,Food Services,Salty Sow,POINT (-97.7212605 30.2837405),cutlery,green
restaurant,Food Services,Tso Chinese Delivery,POINT (-97.7173028 30.2957282),cutlery,green
cafe,Food Services,Black Sheep Coffee,POINT (-97.7464777 30.2693448),coffee,green
restaurant,Food Services,urban,POINT (-97.7244842 30.3994579),cutlery,green
restaurant,Food Services,Sip Pho,POINT (-97.7423368 30.2954158),cutlery,green
bar,Food Services,The Wheel,POINT (-97.72088206788001 30.2802657988199),beer,green
place_of_worship,Community Services,Red River Church,POINT (-97.71936849995451 30.304433191422053),institution,orange
restaurant,Food Services,Oakmont Food Company,POINT (-97.7442691 30.3059582),cutlery,green
restaurant,Food Services,G's Dynamite Deli,POINT (-97.75929826807027 30.242600417832083),cutlery,green
cafe,Food Services,Russell's Bakery,POINT (-97.7601993 30.3327051),coffee,green
restaurant,Food Services,Mi Sabor Oaxaqueño,POINT (-97.69055 30.3739393),cutlery,green
restaurant,Food Services,Texas Chili Parlor,POINT (-97.74196587019908 30.27695375731715),cutlery,green
place_of_worship,Community Services,First United Methodist Church of Austin,POINT (-97.74266118249933 30.274734082396012),institution,orange
restaurant,Food Services,Taqueria Arandas #2,POINT (-97.79882391956724 30.216561176490643),cutlery,green
library,Community Services,Austin Public Library - Little Walnut Creek Branch,POINT (-97.69848681728851 30.36326382807447),book,orange
cafe,Food Services,Cenote,POINT (-97.733706 30.260505),coffee,green
restaurant,Food Services,Pizza Hut,POINT (-97.6717349 30.3745401),cutlery,green
cafe,Food Services,El Chilito Cafe y Cantina,POINT (-97.7183747 30.2841449),coffee,green
restaurant,Food Services,Al-Demashqy Mediterranean Food Truck,POINT (-97.6859005 30.3823131),cutlery,green
restaurant,Food Services,Matt's El Rancho,POINT (-97.77925910136807 30.245144699666827),cutlery,green
place_of_worship,Community Services,Saint John's Episcopal Church,POINT (-97.69559793489249 30.385548460794375),institution,orange
restaurant,Food Services,Thundercloud Subs,POINT (-97.727639 30.240002),cutlery,green
place_of_worship,Community Services,Saint Stephens Mission Baptist Church,POINT (-97.68243482079255 30.29543822175197),institution,orange
bar,Food Services,Barfly's,POINT (-97.7142604 30.3167177),beer,green
restaurant,Food Services,Poke Bowl,POINT (-97.7020897 30.4181903),cutlery,green
restaurant,Food Services,40 North,POINT (-97.75169849708766 30.274992002677745),cutlery,green
restaurant,Food Services,Lou's Barton Springs,POINT (-97.76171987633434 30.26241292624766),cutlery,green
bar,Food Services,Whiskey Tango Foxtrot Icehouse,POINT (-97.74985695528714 30.269822327665477),beer,green
theatre,Recreation,AISD Performing Arts Center,POINT (-97.70301557261395 30.304342713385303),film,red
cafe,Food Services,Café Medici,POINT (-97.7420095 30.2854421),coffee,green
restaurant,Food Services,Pizzeria Grata,POINT (-97.7804229 30.2453356),cutlery,green
restaurant,Food Services,Inka Chicken Peruvian Restaurant,POINT (-97.67121619492974 30.438750664143118),cutlery,green
restaurant,Food Services,Salt Traders Coastal Cooking,POINT (-97.78098693117987 30.265329020903014),cutlery,green
restaurant,Food Services,DK sushi & seoul korean,POINT (-97.7861963 30.2002752),cutlery,green
cafe,Food Services,Lake Austin's Coffee Spot,POINT (-97.7761478 30.282934),coffee,green
restaurant,Food Services,Taco Miendo,POINT (-97.6959705 30.4150913),cutlery,green
restaurant,Food Services,Mandarin House,POINT (-97.6992611 30.3584687),cutlery,green
restaurant,Food Services,"Carnitas ""El Güero""",POINT (-97.70363154902681 30.355438997884796),cutlery,green
cafe,Food Services,Teal House,POINT (-97.75315863096708 30.239910031568257),coffee,green
restaurant,Food Services,Mi Trailita Y Mas,POINT (-97.6814344 30.3051561),cutlery,green
restaurant,Food Services,El Chile Cafe Y Cantina,POINT (-97.72256825 30.28354045),cutlery,green
restaurant,Food Services,Verbena,POINT (-97.7488753 30.2698939),cutlery,green
restaurant,Food Services,True Texas BBQ,POINT (-97.7761099 30.2829156),cutlery,green
restaurant,Food Services,Vino Vino,POINT (-97.7353169 30.3069687),cutlery,green
cafe,Food Services,Civil Goat Coffee,POINT (-97.7390514 30.3009981),coffee,green
cafe,Food Services,Palomino Coffee,POINT (-97.687496 30.2793122),coffee,green
restaurant,Food Services,Taco Joint,POINT (-97.74551928242776 30.25636583930542),cutlery,green
cafe,Food Services,Civil Goat,POINT (-97.71463165019509 30.285254958113196),coffee,green
place_of_worship,Community Services,University Catholic Center,POINT (-97.74005963517332 30.28339051873414),institution,orange
cafe,Food Services,34th St Cafe,POINT (-97.7452903 30.302703),coffee,green
marketplace,Commercial,Food Mart,POINT (-97.72057716248085 30.27962888602951),shopping-cart,green
restaurant,Food Services,El Pollo Rico,POINT (-97.71835321731521 30.363642999644956),cutlery,green
bar,Food Services,The Coral Snake,POINT (-97.7236539 30.2571286),beer,green
bar,Food Services,The Tailor Shop,POINT (-97.7804566078272 30.24537277292057),beer,green
restaurant,Food Services,Rote Shaq Indian Fusion,POINT (-97.7494041 30.2675522),cutlery,green
restaurant,Food Services,East Side King,POINT (-97.7747477 30.2475144),cutlery,green
restaurant,Food Services,Oma's Kitchen,POINT (-97.7416398 30.2836879),cutlery,green
bar,Food Services,The Roosevelt Room,POINT (-97.74631230343883 30.267712611213966),beer,green
restaurant,Food Services,Twin Lion,POINT (-97.748023 30.4001039),cutlery,green
pub,Food Services,The Pub,POINT (-97.74543954999999 30.26698855),beer,green
cafe,Food Services,Summermoon Coffee Bar,POINT (-97.7648433 30.2332092),coffee,green
place_of_worship,Community Services,Dolores Catholic Church,POINT (-97.69808797265223 30.23230665726839),institution,orange
restaurant,Food Services,Sundaze,POINT (-97.7840817 30.2291299),cutlery,green
bar,Food Services,Rustic Tap,POINT (-97.7491275 30.2695962),beer,green
bar,Food Services,The Cabana Bar at Hotel ZaZa,POINT (-97.7464843 30.2673277),beer,green
bar,Food Services,The Dogwood,POINT (-97.75032828434679 30.269859162788368),beer,green
place_of_worship,Community Services,Eastside Community Church,POINT (-97.7200010268891 30.273010245813968),institution,orange
restaurant,Food Services,Black's BBQ,POINT (-97.7413239 30.2985031),cutlery,green
cafe,Food Services,Soup Peddler,POINT (-97.75199881737451 30.276869700626122),coffee,green
cafe,Food Services,Gong Cha,POINT (-97.7413494 30.2834028),coffee,green
restaurant,Food Services,Super Thai Cuisine,POINT (-97.7684445 30.2491788),cutlery,green
place_of_worship,Community Services,Saint Davids Episcopal Church,POINT (-97.7393827782971 30.2684560953176),institution,orange
restaurant,Food Services,Taqueria 1836,POINT (-97.7804614 30.2453306),cutlery,green
restaurant,Food Services,Blue Star Cafeteria,POINT (-97.7397518 30.3185788),cutlery,green
place_of_worship,Community Services,Grace + Peace Austin,POINT (-97.7295726502996 30.334495366494043),institution,orange
restaurant,Food Services,Little Deli & Pizzeria,POINT (-97.7254953 30.3426155),cutlery,green
restaurant,Food Services,El Marisquero Seafood,POINT (-97.79934763518527 30.216948825136207),cutlery,green
restaurant,Food Services,Aussie's Grill and Beach Bar,POINT (-97.74826572420322 30.259078974929242),cutlery,green
bar,Food Services,The Brew Exchange,POINT (-97.7499377 30.2702132),beer,green
restaurant,Food Services,Bombay to Kathmandu Kitchen,POINT (-97.6954119 30.3666294),cutlery,green
restaurant,Food Services,Asti,POINT (-97.7262204 30.3048563),cutlery,green
cafe,Food Services,Fleet Coffee,POINT (-97.742287 30.270247),coffee,green
place_of_worship,Community Services,Midtown Church,POINT (-97.7194294 30.3044842),institution,orange
restaurant,Food Services,The Grove,POINT (-97.7509613 30.270593),cutlery,green
